# token	id	count	
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	2	16391
/film/film/release_date_s./film/film_regional_release_date/film_release_region	3	15568
/award/award_nominee/award_nominations./award/award_nomination/award	4	14051
/people/person/profession	5	13382
/award/award_category/nominees./award/award_nomination/nominated_for	6	11069
/film/actor/film./film/performance/film	7	11045
/film/film/genre	8	8649
/award/award_winner/awards_won./award/award_honor/award_winner	9	8491
/music/genre/artists	10	7134
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	11	6483
/film/film/other_crew./film/film_crew_gig/film_crew_role	12	6445
/award/award_category/winners./award/award_honor/award_winner	13	6070
/location/location/contains	14	5834
/people/person/nationality	15	5097
/people/person/gender	16	4530
/common/topic/webpage./common/webpage/category	17	4364
/people/person/places_lived./people/place_lived/location	18	4275
/music/performance_role/track_performances./music/track_contribution/role	19	3887
/people/person/spouse_s./people/marriage/type_of_union	20	3557
/sports/sports_position/players./sports/sports_team_roster/team	21	3551
/award/award_winning_work/awards_won./award/award_honor/award	22	3536
/award/award_category/winners./award/award_honor/ceremony	23	3440
/award/award_ceremony/awards_presented./award/award_honor/award_winner	24	3337
/education/educational_institution/students_graduates./education/education/student	25	3229
/education/educational_institution/students_graduates./education/education/major_field_of_study	26	3219
/film/film/language	27	3125
/award/award_winning_work/awards_won./award/award_honor/award_winner	28	3040
/media_common/netflix_genre/titles	29	2901
/education/educational_degree/people_with_this_degree./education/education/institution	30	2788
/people/person/place_of_birth	31	2783
/music/record_label/artist	32	2744
/music/performance_role/regular_performances./music/group_membership/role	33	2711
/film/film/country	34	2673
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	35	2643
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	36	2622
/people/ethnicity/people	37	2483
/influence/influence_node/influenced_by	38	2321
/soccer/football_team/current_roster./soccer/football_roster_position/position	39	2283
/soccer/football_team/current_roster./sports/sports_team_roster/position	40	2279
/music/instrument/instrumentalists	41	2227
/location/location/adjoin_s./location/adjoining_relationship/adjoins	42	2157
/music/artist/track_contributions./music/track_contribution/role	43	2040
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium	44	1749
/film/film/production_companies	45	1734
/music/performance_role/regular_performances./music/group_membership/group	46	1599
/base/popstra/celebrity/friendship./base/popstra/friendship/participant	47	1573
/film/film/estimated_budget./measurement_unit/dated_money_value/currency	48	1471
/base/popstra/celebrity/dated./base/popstra/dated/participant	49	1432
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	50	1426
/location/location/time_zones	51	1417
/film/film/produced_by	52	1399
/people/person/religion	53	1337
/government/legislative_session/members./government/government_position_held/district_represented	54	1310
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	55	1269
/film/film/music	56	1196
/film/film/featured_film_locations	57	1185
/tv/tv_program/genre	58	1183
/food/food/nutrients./food/nutrition_fact/nutrient	59	1179
/award/award_ceremony/awards_presented./award/award_honor/honored_for	60	1144
/education/educational_institution/colors	61	1013
/people/person/languages	62	979
/organization/organization_member/member_of./organization/organization_membership/organization	63	977
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	64	966
/organization/organization/headquarters./location/mailing_address/citytown	65	951
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	66	936
/people/cause_of_death/people	67	895
/film/director/film	68	886
/organization/role/leaders./organization/leadership/organization	69	883
/education/educational_institution/school_type	70	883
/business/job_title/people_with_this_title./business/employment_tenure/company	71	867
/music/genre/parent_genre	72	851
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school	73	844
/government/legislative_session/members./government/government_position_held/legislative_sessions	74	838
/people/deceased_person/place_of_death	75	834
/sports/sports_team/colors	76	833
/film/film/written_by	77	823
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	78	821
/music/group_member/membership./music/group_membership/role	79	809
/film/film/executive_produced_by	80	803
/organization/organization/headquarters./location/mailing_address/state_province_region	81	800
/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	82	779
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	83	745
/location/statistical_region/religions./location/religion_percentage/religion	84	726
/film/film_subject/films	85	726
/sports/pro_athlete/teams./sports/sports_team_roster/team	86	710
/olympics/olympic_games/sports	87	685
/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month	88	652
/base/biblioness/bibs_location/country	89	628
/sports/sports_team/roster./american_football/football_historical_roster_position/position_s	90	626
/base/aareas/schema/administrative_area/administrative_parent	91	619
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	92	618
/sports/sports_team/roster./american_football/football_roster_position/position	93	610
/music/artist/origin	94	609
/user/jg/default_domain/olympic_games/sports	95	599
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	96	583
/american_football/football_team/current_roster./sports/sports_team_roster/position	97	574
/location/hud_county_place/place	98	563
/education/educational_institution/campuses	99	559
/education/educational_institution_campus/educational_institution	100	552
/soccer/football_player/current_team./sports/sports_team_roster/team	101	552
/location/country/second_level_divisions	102	541
/olympics/olympic_games/participating_countries	103	536
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	104	528
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	105	528
/sports/sports_team/sport	106	523
/music/performance_role/guest_performances./music/recording_contribution/performance_role	107	499
/award/award_winning_work/awards_won./award/award_honor/honored_for	108	495
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy	109	493
